,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Policy_Sales_Channel,y
19665,1,43,1,28.0,1,0,0,154.0,0
29705,1,68,1,28.0,1,0,1,52.0,0
17988,1,31,1,36.0,1,1,0,160.0,0
34850,0,24,1,4.0,0,1,0,152.0,0
11527,0,28,1,28.0,0,1,1,160.0,1
24175,1,61,1,7.0,1,0,0,124.0,0
19577,0,49,1,28.0,0,0,1,157.0,1
32218,1,22,1,15.0,0,1,1,152.0,1
9113,1,27,1,52.0,0,1,1,156.0,0
24828,1,38,1,28.0,0,0,1,26.0,1
4108,1,50,1,23.0,0,0,0,26.0,1
21541,0,49,1,28.0,0,0,1,156.0,0
11436,1,57,1,13.0,0,0,1,26.0,1
12830,1,45,1,9.0,0,0,1,26.0,0
25197,0,72,1,35.0,0,0,0,156.0,1
22493,1,51,1,28.0,0,0,1,26.0,1
23989,1,62,1,45.0,0,0,1,26.0,0
7161,1,47,1,28.0,0,2,1,26.0,1
24910,1,63,1,41.0,1,0,0,124.0,0
17061,0,40,1,40.0,0,0,1,124.0,0
28301,1,44,1,28.0,0,0,1,26.0,1
16751,1,37,1,28.0,0,0,0,30.0,0
10604,1,20,1,25.0,1,1,0,160.0,0
7995,0,50,1,28.0,0,0,1,26.0,0
25288,0,36,1,8.0,0,0,1,157.0,1
32817,0,20,1,8.0,1,1,0,160.0,0
21671,0,37,1,28.0,0,0,0,124.0,0
18673,0,30,1,4.0,0,0,1,156.0,0
24925,1,35,1,46.0,0,0,1,124.0,1
17836,1,37,1,43.0,0,0,1,124.0,1
2791,1,23,1,6.0,0,1,1,152.0,1
189,1,56,1,8.0,0,0,1,26.0,0
11940,0,38,1,28.0,0,0,1,124.0,1
5601,0,25,1,8.0,1,1,0,152.0,0
25075,1,36,1,8.0,0,0,1,26.0,1
15725,0,44,1,28.0,0,0,1,122.0,1
16730,1,45,1,19.0,0,0,1,26.0,1
31431,0,24,1,11.0,1,1,0,152.0,0
2424,0,30,1,28.0,1,0,0,124.0,0
18401,1,55,1,10.0,0,0,1,124.0,1
7209,0,61,1,28.0,0,0,1,26.0,1
33383,0,50,1,28.0,0,0,0,122.0,0
1112,1,72,1,50.0,1,0,0,8.0,0
36424,0,37,1,50.0,1,0,0,152.0,0
37106,1,30,1,12.0,1,0,0,124.0,0
30230,1,43,1,3.0,0,0,1,124.0,1
25453,0,24,1,30.0,1,1,0,152.0,0
30710,0,77,1,7.0,0,0,1,26.0,1
697,1,38,1,45.0,0,0,1,124.0,1
11493,1,24,1,37.0,0,1,1,152.0,1
28563,1,54,1,28.0,1,0,0,124.0,0
23804,0,25,1,8.0,1,1,0,152.0,0
7220,0,28,1,10.0,0,1,1,152.0,1
25946,0,39,1,28.0,0,0,1,26.0,1
5706,0,66,1,28.0,0,0,1,122.0,1
26473,1,38,1,28.0,0,0,1,24.0,1
22324,1,54,1,47.0,0,1,0,1.0,0
16516,1,22,1,9.0,0,1,1,163.0,1
26598,0,25,1,10.0,1,1,0,152.0,0
18300,1,42,1,15.0,1,0,0,86.0,0
24783,0,27,1,28.0,1,1,0,152.0,0
17518,0,63,1,51.0,1,0,1,26.0,0
10065,1,79,1,41.0,0,0,1,12.0,0
9520,1,43,1,28.0,0,0,1,26.0,1
22270,0,25,1,41.0,0,1,1,157.0,0
16247,0,57,1,28.0,0,0,1,124.0,1
20897,1,69,1,36.0,1,0,0,26.0,0
15442,0,67,1,39.0,1,0,0,124.0,0
27401,1,72,1,28.0,0,2,1,122.0,0
25933,1,24,1,41.0,1,1,0,160.0,0
30157,1,47,1,20.0,0,0,1,26.0,1
9022,0,43,1,28.0,0,0,1,52.0,1
7475,1,53,1,28.0,0,2,1,26.0,1
4448,0,44,1,28.0,0,2,1,26.0,1
14123,0,33,1,24.0,0,1,1,152.0,0
28351,1,48,1,41.0,1,0,0,12.0,0
6501,1,46,1,28.0,0,0,1,156.0,1
30112,1,63,1,28.0,0,0,1,156.0,0
34626,1,37,1,36.0,1,0,0,151.0,0
16538,0,75,1,41.0,0,0,1,26.0,0
3799,1,47,1,28.0,0,1,1,124.0,1
14630,0,28,1,36.0,1,1,0,151.0,0
28354,0,54,1,28.0,0,0,1,23.0,1
7359,1,34,1,41.0,0,0,1,163.0,1
5466,0,38,1,36.0,0,0,1,124.0,1
28135,1,34,1,30.0,1,0,0,152.0,0
8349,0,26,1,28.0,0,1,1,152.0,0
14762,0,43,1,14.0,0,0,1,124.0,0
29323,1,36,1,28.0,0,0,1,124.0,0
35158,0,31,1,40.0,1,0,0,124.0,0
29596,1,49,1,24.0,0,0,1,26.0,1
414,0,47,1,4.0,0,0,0,26.0,0
31771,1,22,1,8.0,0,0,1,156.0,1
6058,0,24,1,36.0,0,1,1,152.0,0
21588,0,25,1,23.0,0,1,1,160.0,1
21020,0,24,1,50.0,1,1,1,152.0,0
11047,1,44,1,29.0,0,0,1,26.0,1
19478,0,38,1,41.0,0,0,1,110.0,1
17333,0,49,1,46.0,0,0,1,124.0,0
32411,0,22,1,9.0,1,1,0,152.0,0
2298,0,28,1,28.0,0,0,1,154.0,1
25638,1,54,1,28.0,0,0,1,26.0,1
3777,1,35,1,43.0,0,0,1,26.0,1
20682,0,44,1,8.0,0,0,0,26.0,0
23646,0,21,1,46.0,1,1,0,152.0,0
4148,1,43,1,45.0,0,0,1,122.0,1
11793,0,78,0,28.0,0,0,1,122.0,0
15107,1,31,1,3.0,0,1,1,156.0,1
6783,1,41,1,28.0,0,0,1,13.0,0
13923,1,76,1,17.0,0,0,1,157.0,0
2927,1,47,1,18.0,0,0,1,154.0,1
22964,0,33,1,19.0,0,0,1,26.0,1
24270,1,49,1,8.0,0,0,1,124.0,1
17103,1,59,1,13.0,0,2,1,26.0,1
32075,1,52,1,7.0,0,0,1,154.0,1
29543,1,51,1,15.0,1,0,0,26.0,0
13551,0,44,1,28.0,0,2,1,26.0,1
10307,0,30,1,28.0,0,1,1,26.0,1
16171,0,36,1,28.0,0,0,1,124.0,1
11933,1,52,1,46.0,0,0,1,26.0,1
11631,0,51,1,28.0,1,0,0,26.0,0
5395,1,36,1,24.0,0,0,0,145.0,0
27953,0,30,1,47.0,0,1,1,124.0,1
10283,0,55,1,28.0,1,0,0,26.0,0
11780,1,23,1,3.0,1,1,0,152.0,0
5011,1,50,1,30.0,0,0,1,26.0,0
35049,1,47,1,41.0,1,0,0,124.0,0
13032,0,23,1,24.0,0,1,1,152.0,1
31196,1,49,1,0.0,0,0,1,124.0,0
6366,1,27,1,28.0,0,1,1,124.0,1
29936,0,35,1,28.0,0,2,1,125.0,1
29757,1,57,1,22.0,0,2,1,26.0,0
26407,0,23,1,30.0,1,1,1,152.0,0
15775,0,24,1,3.0,0,1,0,152.0,0
33933,1,59,1,28.0,0,0,1,122.0,0
212,1,40,1,28.0,0,0,1,124.0,1
1326,0,65,1,28.0,0,2,1,122.0,0
32139,0,22,1,4.0,1,1,0,152.0,0
22693,1,25,1,28.0,1,1,0,151.0,0
29151,0,40,1,28.0,0,0,1,124.0,1
28833,1,41,1,28.0,0,0,1,124.0,0
15478,0,25,1,37.0,1,1,0,152.0,0
24208,1,34,1,6.0,0,0,1,26.0,0
23748,1,49,1,28.0,0,2,1,26.0,1
16860,0,57,1,41.0,1,0,0,136.0,0
28162,1,50,1,28.0,0,0,1,124.0,1
2247,1,33,1,28.0,0,1,1,124.0,1
14050,1,77,1,41.0,1,0,0,136.0,0
33357,0,22,1,46.0,0,1,1,152.0,0
18192,1,54,1,8.0,0,0,1,124.0,1
30727,1,75,1,43.0,0,0,1,26.0,1
12299,0,26,1,29.0,1,1,0,152.0,0
36562,0,52,1,15.0,1,0,0,152.0,0
33809,0,45,1,28.0,0,0,1,124.0,0
4651,1,48,1,28.0,1,0,0,26.0,0
646,1,44,1,43.0,0,0,1,124.0,1
114,1,42,1,28.0,0,0,1,124.0,1
28406,0,43,1,28.0,0,0,1,122.0,1
1034,0,25,1,28.0,0,1,1,26.0,1
31172,1,21,1,50.0,0,1,1,152.0,0
2525,1,73,1,28.0,0,0,1,124.0,0
1003,0,38,1,28.0,0,0,1,26.0,1
37149,0,43,1,28.0,0,0,1,124.0,0
10883,1,32,1,28.0,0,0,1,124.0,1
35148,1,29,1,14.0,1,1,0,160.0,0
28303,0,28,1,11.0,1,1,0,152.0,0
7189,0,63,1,28.0,0,2,1,124.0,0
3231,1,34,1,30.0,0,0,1,152.0,1
15033,0,27,1,37.0,0,1,1,152.0,0
5680,1,24,1,41.0,1,1,0,152.0,0
12005,1,46,1,46.0,0,0,1,26.0,1
22528,1,62,1,28.0,0,0,1,26.0,1
5567,1,43,1,46.0,0,0,1,26.0,1
25329,0,60,1,46.0,0,0,1,26.0,1
10477,0,45,1,28.0,0,0,1,26.0,1
7627,0,46,1,11.0,0,0,1,26.0,1
17287,1,32,1,2.0,0,1,1,152.0,1
7638,1,60,1,8.0,0,0,1,163.0,1
31654,0,47,1,8.0,0,0,1,124.0,1
30969,1,31,1,28.0,0,1,1,29.0,0
23037,0,32,1,8.0,0,1,1,124.0,1
3000,0,35,1,28.0,0,2,1,152.0,1
28507,1,23,1,28.0,1,1,0,152.0,0
22845,0,35,1,28.0,0,0,1,122.0,1
35425,0,22,1,8.0,1,1,0,152.0,0
1557,0,26,1,6.0,1,1,0,160.0,0
30167,1,71,1,35.0,0,0,1,124.0,1
15686,1,22,1,28.0,0,1,1,124.0,1
18923,1,49,1,11.0,0,0,1,124.0,1
14339,0,27,1,30.0,0,1,0,160.0,1
14302,1,34,1,28.0,0,0,1,26.0,1
3647,1,32,1,6.0,0,0,1,124.0,1
23461,0,26,1,35.0,1,1,0,152.0,0
36454,1,32,1,28.0,1,0,0,26.0,0
26294,0,43,1,28.0,0,0,1,26.0,1
5876,0,32,1,0.0,1,0,0,16.0,0
32223,0,28,1,28.0,1,1,0,152.0,0
7646,1,41,1,24.0,0,0,1,154.0,1
2992,0,49,1,28.0,0,2,1,26.0,1
8504,0,31,1,28.0,0,1,1,122.0,1
26533,1,34,1,6.0,0,0,1,154.0,1
36087,0,27,1,11.0,1,1,0,160.0,0
33826,0,22,1,39.0,1,1,0,152.0,0
32028,0,21,1,28.0,0,1,1,160.0,1
24350,0,24,1,21.0,1,1,0,152.0,0
24983,0,36,1,15.0,0,0,1,154.0,1
6224,0,68,1,8.0,0,0,1,7.0,0
28971,0,31,1,18.0,0,0,1,26.0,1
3394,1,38,1,18.0,0,0,1,124.0,1
6704,0,20,1,27.0,0,1,0,160.0,0
29318,0,30,1,18.0,1,1,0,152.0,0
35716,1,54,1,28.0,0,0,1,4.0,0
8823,0,26,1,29.0,1,1,0,152.0,0
33025,0,72,1,48.0,0,2,1,124.0,0
4212,1,46,1,11.0,1,0,0,124.0,0
5359,1,47,1,35.0,0,0,1,101.0,1
7041,0,24,1,46.0,0,1,1,152.0,0
25428,0,69,1,28.0,0,0,1,122.0,0
10023,0,48,1,41.0,0,0,1,156.0,1
8034,1,71,1,46.0,0,2,1,124.0,1
11896,1,51,1,18.0,1,0,0,124.0,0
20607,0,41,1,30.0,0,0,1,124.0,0
18529,1,31,1,35.0,0,1,1,152.0,1
23201,0,33,1,18.0,0,1,1,124.0,1
7228,1,44,1,28.0,1,0,0,124.0,0
31862,1,78,1,29.0,1,0,0,26.0,0
15766,1,48,1,28.0,0,0,1,124.0,1
20524,1,44,1,20.0,0,0,1,26.0,1
35650,0,33,1,28.0,1,1,0,152.0,0
9131,0,20,1,45.0,1,1,0,160.0,0
8780,0,36,1,28.0,0,0,1,124.0,1
2688,1,54,1,28.0,1,0,0,124.0,0
5657,1,42,1,28.0,0,0,1,122.0,1
22898,1,29,1,46.0,1,1,0,152.0,0
8191,1,22,1,9.0,0,1,1,152.0,0
31052,0,26,1,8.0,1,1,0,152.0,0
7801,0,41,1,28.0,0,0,1,26.0,1
23988,0,34,1,28.0,1,0,0,122.0,0
13793,1,49,1,41.0,0,0,1,12.0,1
14311,1,51,1,28.0,0,0,1,30.0,1
22274,0,63,1,28.0,0,0,1,26.0,0
3349,1,42,1,30.0,0,0,1,26.0,0
34354,0,56,1,28.0,0,0,1,124.0,0
12700,0,63,1,28.0,0,0,1,124.0,0
37084,1,24,1,28.0,1,1,0,152.0,0
29472,0,58,1,20.0,1,0,0,133.0,0
13554,0,27,1,8.0,0,1,1,152.0,0
15859,0,26,1,46.0,1,1,0,124.0,0
5843,0,33,1,36.0,0,0,1,154.0,1
12432,0,59,1,28.0,1,0,0,26.0,0
26788,1,25,1,29.0,1,1,0,152.0,0
7729,1,24,1,8.0,0,1,0,152.0,0
24159,0,55,1,28.0,1,0,0,30.0,0
