,titles,y,price,sales,author
60,O Investidor de Bom Senso | O Jeito Peter Lynch de Investir,0,123.47,1,A Melhor Maneira de Garantir um Bom Desempenho no Mercado de Ações
61,Pai Rico Pai Pobre / O Negócio do Século XXI,1,110,5,20 Anos Atualizada e Ampliada
62,Pai Rico Pai Pobre / O Negócio do Século XXI,1,118.49,1,20 Anos Atualizada e Ampliada
63,Pai Rico Pai Pobre Os Segredos Da Mente Milionária E Go Pro,1,146,7,Robert Kiyosaki com John Fleming e Kim Kiyosaki
64,Iludidos pelo acaso / Antifrágil,1,162,1,A influência da sorte nos mercados e na vida
65,Os Axiomas de Zurique / Faça Fortuna com Ações,1,109.49,3,Os Conselhos dos Banqueiros suíços para Orientar seus Investimentos
66,O Investidor Inteligente / O Milagre Da Manhã,1,116.13,1,O Investidor Inteligente / O Milagre Da Manhã
67,O Investidor Inteligente / O Homem Mais Rico Da Babilônia,1,115.49,1,Lourdes Sette
68,O Investidor Inteligente / Mais Esperto que o Diabo,1,118.49,1,O mistério revelado da liberdade e do sucesso
69,Os Axiomas de Zurique / Faça Fortuna com Ações,1,115.49,1,Os Conselhos dos Banqueiros suíços para Orientar seus Investimentos
70,Casais Inteligentes Enriquecem Juntos - Finanças Para Casai,0,34.9,387,"Cerbasi,Gustavo"
71,A Fórmula Mágica de Joel Greenblatt para Bater o Mercado de Ações,0,52.49,1,A Fórmula Mágica de Joel Greenblatt para Bater o Mercado de Ações
72,Planejamento Financeiro Pessoal E Gestão Do Patrimônio,0,130.31,6,"Sousa, Almir Ferreira"
73,O Investidor Inteligente / Trabalhe 4 Horas por Semana / Quem Pensa Enriquece o Legado,0,158.9,2,"Fuja da Rotina, Viva Onde Quiser e Fique Rico"
74,Os Axiomas de Zurique / O investidor Inteligente,1,144,1,Os Axiomas de Zurique / O investidor Inteligente
75,Histórias de Sucesso do Pai Rico,0,57,2,Robert T. Kiyosaki
76,Quem mexeu no meu dinheiro?,0,54.9,1,Robert T. Kiyosaki
77,Fique Rico Operando Opções,0,64,4,Estratégias vencedoras dos Traders profissionais
78,FIQUE RICO OPERANDO OPCOES,0,48.51,43,"LOWELL, LEE"
79,Axiomas de Zurique / O Investidor Inteligente / O Homem Mais Rico Da Babilônia,1,164.49,1,Axiomas de Zurique / O Investidor Inteligente / O Homem Mais Rico Da Babilônia
80,Pai Rico Pai Pobre Desperte o Milionário que há em você + 2 Livros,1,182.85,7,Carlos Wizard Martins/Robert T. Kiyosaki e Sharon L. Lechter
81,O Investidor Inteligente / Como Fazer Amigos e Influenciar Pessoas,0,130.49,4,O Investidor Inteligente / Como Fazer Amigos e Influenciar Pessoas
82,Livro Curso De Contabilidade Para Não Contadores,0,130,4,Sérgio de Iudícibus e José Carlos Marion
83,O Investidor de Bom Senso / O Investidor Inteligente,0,139.49,6,A Memor Maneira de Garantir um Bom Desempenho no Mercado de Ações
84,Pai Rico Pai Pobre Nova Edição  E   Go Pró,1,127,8,Robert Kiyosaki com John Fleming e Kim Kiyosaki
85,"Venda à mente, não ao cliente / Os segredos do lobo / Como convencer alguém em 90 segundos",1,175,15,Jürgen Klaric e outros
86,Faça Fortuna Com Açoes / Quem pensa enriquece / Do Mil ao Milhão,0,178,3,Decio Bazin e outros
87,"Opções,Futuros E Outros Derivativos",0,162.84,1,"Hull,John C."
88,Casais Inteligentes Enriquecem Juntos - Finanças,0,34.9,476,"Cerbasi,Gustavo"
89,Investindo Em Ações No Longo Prazo,0,107.25,11,O Guia Indispensável do Investidor do Mercado Financeiro
90,Pai Rico Pai Pobre,0,64.49,61,Pai Rico Edição 20 Anos Atualizada e Ampliada
91,"Avaliando Empresas, Investindo Em Acoes",0,49,92,Carlos Alberto Debastiani e Felipe Augusto Russo
92,"Pai Rico, Pai Pobre Para Jovens - O Que A Escola Não Ensina",1,47.9,24,"Kiyosaki,Robert"
93,O Guia Do Pai Rico - Independência Financeira - O Guia Para,1,58.9,23,"Kiyosaki,Robert T."
94,"JEITO WARREN BUFFETT DE INVESTIR, O - 2ª ED",1,43.12,10,"HAGSTROM, ROBERT G."
95,Princípios De Finanças Corporativas,0,234.75,1,"Brealey,Richard; Myers,Stewart; Allen,Franklin"
96,Princípios De Administração Financeira,1,229.6,1,"Gitman,Lawrence J.; Zutter,Chad J."
97,MATEMATICA FINANCEIRA E SUAS APLICACOES - 14ª ED,0,133.11,3,"ASSAF NETO, ALEXANDRE"
98,Pai Rico Pai Pobre,1,64.49,61,Pai Rico Edição 20 Anos Atualizada e Ampliada
99,"Avaliando Empresas, Investindo Em Acoes",1,49,92,Carlos Alberto Debastiani e Felipe Augusto Russo
100,Avaliação De Empresas,0,223.2,3,"Damodaran,Aswath"
101,FIQUE RICO OPERANDO OPCOES,0,48.51,43,"LOWELL, LEE"
102,O Investidor Inteligente / Dinheiro é Emocional,1,116,1,Saúde Emocional Para Ter Paz Financeira
103,Candlestick / Os Axiomas de Zurique,1,129,13,Carlos Alberto Debastiani / Max Gunther
104,Faça Fortuna Com Açoes /  Os segredos da mente milionária / O homem mais rico da Babilônia,0,159,5,Decio Bazin e outros
105,Sociedade Da Fortuna,0,23.5,2,Sociedade Da Fortuna
106,"RIQUEZA DA VIDA SIMPLES, A",0,31.92,6,"CERBASI, GUSTAVO"
107,Coleção Novos Mercados - 3 Livros,0,189,3,Marcelo C. Piazza
108,O Investidor Inteligente,1,62.1,6,Lourdes Sette
109,"Adeus, Aposentadoria!",0,30,1,"Cerbasi,Gustavo"
110,INVESTIMENTOS,1,193.4,2,INVESTIMENTOS
111,Guia Suno De Contabilidade Para Investidores - Cla,1,32,2,CONCEITOS CONTABEIS FUNDAMENTAIS PARA QUEM INVESTE NA BOLSA
112,"Seu Primeiro Milhao, O - Academia",1,31.92,2,COMO FAZER O SEU DINHEIRO CRESCER
113,Operando Na Bolsa De Valores - Novatec,1,47.2,12,UTILIZANDO ANALISE TECNICA
114,Seguros Matematica Atuarial E Financeira - Saraiva,0,82.4,1,UMA ABORDAGEM INTRODUTORIA
115,O Poder da Autorresponsabilidade / Os Axiomas deZurique / Candlestick - Novatec,1,148,5,Paulo Vieira / Max Gunther / Carlos Alberto Debastiani
116,EU VOU TE ENSINAR A SER RICO,0,31.9,15,EU VOU TE ENSINAR A SER RICO
117,Pare de viver na corda bamba,0,36,2,Carlos Alberto Debastiani
118,Pai Rico Pai Pobre - Edição 20 Anos Atualizada e Ampliada,1,129.49,1,Robert T. Kiyosaki
119,Casais inteligentes enriquecem juntos / Mindset,0,119,1,Gustavo Cerbasi
120,O Poder da Autorresponsabilidade / Os Axiomas deZurique / Candlestick - Novatec,0,130,4,Paulo Vieira / Max Gunther / Carlos Alberto Debastiani
121,Candlestick / Os Axiomas de Zurique,1,148,5,Carlos Alberto Debastiani / Max Gunther
122,"Pai Rico, Pai Pobre Para Jovens - O Que A Escola Não Ensina",1,129,13,"Kiyosaki,Robert"
123,Os Axiomas de Zurique / O investidor Inteligente,1,47.9,24,Os Axiomas de Zurique / O investidor Inteligente
124,Pai Rico Pai Pobre Desperte o Milionário que há em você + 2 Livros,1,144,1,Carlos Wizard Martins/Robert T. Kiyosaki e Sharon L. Lechter
125,Axiomas de Zurique / O Investidor Inteligente / O Homem Mais Rico Da Babilônia,1,182.85,7,Axiomas de Zurique / O Investidor Inteligente / O Homem Mais Rico Da Babilônia
126,Pai Rico Pai Pobre Os Segredos Da Mente Milionária E Go Pro,0,164.49,1,Robert Kiyosaki com John Fleming e Kim Kiyosaki
127,O Investidor Inteligente / O Milagre Da Manhã,0,146,7,O Investidor Inteligente / O Milagre Da Manhã
128,O Investidor Inteligente / Como Fazer Amigos e Influenciar Pessoas,0,116.13,1,O Investidor Inteligente / Como Fazer Amigos e Influenciar Pessoas
129,O Investidor Inteligente / Dinheiro é Emocional,0,124.89,1,Saúde Emocional Para Ter Paz Financeira
130,O Investidor Inteligente / O Homem Mais Rico Da Babilônia,0,116,1,Lourdes Sette
131,O Investidor Inteligente / Mais Esperto que o Diabo,0,115.49,1,O mistério revelado da liberdade e do sucesso
132,O Investidor Inteligente,0,118.49,1,Lourdes Sette
133,Faça Fortuna Com Açoes / Quem pensa enriquece / Do Mil ao Milhão,0,62.1,6,Decio Bazin e outros
134,Pai Rico Pai Pobre Nova Edição  E   Go Pró,0,178,3,Robert Kiyosaki com John Fleming e Kim Kiyosaki
135,Audaz - As 5 Competências Para Construir Carreiras e Negócios Inabaláveis Nos Dias De Hoje,0,127,8,Mauricio Benvenutti
136,Faça Fortuna Com Açoes /  Os segredos da mente milionária / O homem mais rico da Babilônia,0,39,2,Decio Bazin e outros
137,Coleção Novos Mercados - 3 Livros,0,159,5,Marcelo C. Piazza
138,Pare de viver na corda bamba,0,189,3,Carlos Alberto Debastiani
139,"Adeus, Aposentadoria!",0,36,2,"Cerbasi,Gustavo"
140,FIQUE RICO OPERANDO OPCOES,0,30,1,"LOWELL, LEE"
141,O Guia Do Pai Rico - Independência Financeira - O Guia Para,1,48.51,43,"Kiyosaki,Robert T."
142,Seja Foda / O Poder do Agora / O Poder do Silêncio / A Sutil Arte De Ligar O Foda-se / Os Segredos da Mente Milionária / Do Mil Ao Milhão,0,58.9,23,Caio Carneiro / Eckhart Tolle / Mark Manson / T. Harv Eker / Thiago Nigro
143,"Investidor Inteligente, O - Harpercollins",1,259,2,O GUIA CLASSICO PARA GANHAR DINHEIRO NA BOLSA
144,Faça Fortuna Com Açoes / Do Mil ao Milhão / Os segredos da mente milionária / O homem mais rico da Babilônia,0,59.9,9,Decio Bazin e outros
145,Faça Fortuna Com Açoes / O Investidor Inteligente / Os axiomas de Zurique,0,195,3,Decio Bazin e outros
146,Faça Fortuna Com Açoes / Guia Suno Dividendos / Os Axiomas de Zurique,0,188,1,Decio Bazin e outros
147,O Investidor Inteligente / Trabalhe 4 Horas por Semana / Quem Pensa Enriquece o Legado,0,185,2,"Fuja da Rotina, Viva Onde Quiser e Fique Rico"
148,Pai Rico Pai Pobre - Edição 20 Anos Atualizada e Ampliada,1,149,12,Robert T. Kiyosaki
149,Os Axiomas de Zurique / O investidor Inteligente,1,149,2,Os Axiomas de Zurique / O investidor Inteligente
150,O Investidor Inteligente / Dinheiro é Emocional,1,129,3,Saúde Emocional Para Ter Paz Financeira
151,O Investidor Inteligente,1,101.1,4,Benjamin Graham
152,O Guia Do Pai Rico Empreendedor Rico 10 Lições Práticas Para Ter Sucesso No Seu Próprio Negócio,0,107,7,Robert Kiyosaki
153,Pai Rico Pai Pobre Nova Edição Atualizada E Ampliada,0,68,1,Robert T. Kiyoosaki - Sharon L. Lechter
154,Pai Rico Pai Pobre Os Segredos Da  E  A Lei Do Triunfo,0,73,15,Robert Kiyosaki com John Fleming e Kim Kiyosaki
155,Pai Rico Pai Pobre Os Segredos Da  E  O Negócio Do Século,0,179,1,Robert Kiyosaki com John Fleming e Kim Kiyosaki
156,Os Segredos Da Mente Milionária,1,139,16,"Eker,T. Harv"
157,Fundos de Investimento Imobiliário,1,45.99,12,Roni Antônio Mendes
158,Ganhando Dinheiro com Opções,1,64,7,Elvis Pfützenreuter
159,Mesada não é só dinheiro,1,38,2,Reinado Domingos
160,"Avaliando Empresas, Investindo Em Acoes",1,45.99,4,Carlos Alberto Debastiani e Felipe Augusto Russo
161,Fique Rico Operando Opções,0,49,7,Estratégias vencedoras dos Traders profissionais
162,Pai Rico Pai Pobre - Desperte O Milionário Que Há Em Você  - Basta Pensar Diferente,0,168,3,Robert Kiyosaki com John Fleming e Kim Kiyosaki
163,Casais Inteligentes Enriquecem Juntos - Finanças,1,155,7,"Cerbasi,Gustavo"
164,Filho Rico Filho Vencedor - Como Preparar Seu Filho Para Ganhar Dinheiro,1,39.99,5,Robert Kiyosaki
165,O que podemos aprender com os gansos 1,0,118.49,2,"Rangel, Alexandre"
166,Quebra tudo!,0,31.2,9,"Magalhães, Ricardo Jordão"
167,"Opções,Futuros E Outros Derivativos",0,17.6,5,"Hull,John C."
168,Investindo Em Ações No Longo Prazo,1,162.84,1,O Guia Indispensável do Investidor do Mercado Financeiro
169,MATEMATICA FINANCEIRA E SUAS APLICACOES - 14ª ED,1,107.25,11,"ASSAF NETO, ALEXANDRE"
170,Arriscando A Própria Pele - Assimetrias Ocultas No Cotidian,0,133.11,3,"Taleb, Nassim Nicholas; Brett, Renato"
171,Candlestick Um Método Para Ampliar Lucros Na Bolsa De Valore,1,48.9,46,Carlos Alberto Debastiani
172,Análise Para Administração Financeira,1,39,72,"Higgins,Robert C."
173,EU VOU TE ENSINAR A SER RICO,0,90,2,EU VOU TE ENSINAR A SER RICO
174,Guia Suno De Contabilidade Para Investidores - Cla,0,31.9,15,CONCEITOS CONTABEIS FUNDAMENTAIS PARA QUEM INVESTE NA BOLSA
175,Manual de Análise Técnica - Essência e Estratégias Avançadas,1,32,2,"ABE, MARCOS"
176,Avaliação De Empresas,0,50,16,"Damodaran,Aswath"
177,Operando Na Bolsa De Valores - Novatec,1,223.2,3,UTILIZANDO ANALISE TECNICA
178,"PAI RICO, PAI POBRE PARA JOVENS",0,47.2,12,"PAI RICO, PAI POBRE PARA JOVENS"
179,Sociedade Da Fortuna,0,40.6,23,Sociedade Da Fortuna
180,Princípios De Finanças Corporativas,1,23.5,2,"Brealey,Richard; Myers,Stewart; Allen,Franklin"
181,Princípios De Administração Financeira,0,234.75,1,"Gitman,Lawrence J.; Zutter,Chad J."
182,Avaliação De Empresas  Valuation,1,229.6,1,Calculando e Gerenciando o Valor das Empresas
183,"JEITO WARREN BUFFETT DE INVESTIR, O - 2ª ED",1,174.64,3,"HAGSTROM, ROBERT G."
184,As Praticas Para A Prosperidades Extraídas De - O,1,43.12,10,"Clason,George S."
185,"RIQUEZA DA VIDA SIMPLES, A",0,28.9,7,"CERBASI, GUSTAVO"
186,Modelos Quantitativos Em Finanças,1,31.92,6,Com Enfoque em Commodities
187,Aprenda a Declarar Seu Imposto de Renda,1,102.6,1,Alexandre Martins
188,Seguros Matematica Atuarial E Financeira - Saraiva,0,48.9,1,UMA ABORDAGEM INTRODUTORIA
189,"Seu Primeiro Milhao, O - Academia",0,82.4,1,COMO FAZER O SEU DINHEIRO CRESCER
190,ADMINISTRAÇÃO FINANCEIRA: TEORIA E PRÁTICA,0,31.92,2,ADMINISTRAÇÃO FINANCEIRA: TEORIA E PRÁTICA
191,INVESTIMENTOS,1,185.9,1,INVESTIMENTOS
192,Kit 4 Livros Gustavo Cerbasi Paulo Vieira,0,193.4,2,Gustavo Cerbasi
193,Pai Rico Pai Pobre / O Investidor Inteligente,0,115.9,6,Pai Rico Pai Pobre / O Investidor Inteligente
194,O Negócio do Século XXI / Os Segredos da Mente Milionária,1,124,1,O Negócio do Século XXI / Os Segredos da Mente Milionária
195,Operando Na Bolsa De Valores Utilizando Analise Tecnica,1,99,1,"CORREIA, JOSEILTON DA SILVA"
196,O INVESTIDOR INTELIGENTE,1,50,24,O INVESTIDOR INTELIGENTE
197,Investindo no Mercado de Opções,0,55.3,9,"PFUTZENREUTER, ELVIS"
198,Analise Tecnica De Acoes - Novatec,1,44,9,IDENTIFICANDO OPORTUNIDADES DE COMPRA E VENDA
199,"NEGOCIO DO SECULO XXI, O - O GUIA DO PAI RICO",0,41.6,11,"NEGOCIO DO SECULO XXI, O - O GUIA DO PAI RICO"
200,A Fórmula Mágica de Joel Greenblatt para Bater o Mercado de Ações,0,35.2,4,A Fórmula Mágica de Joel Greenblatt para Bater o Mercado de Ações
201,A Fórmula Mágica de Joel Greenblatt para Bater o Mercado de Ações,0,44.49,1,A Fórmula Mágica de Joel Greenblatt para Bater o Mercado de Ações
202,A Fórmula Mágica de Joel Greenblatt para Bater o Mercado de Ações,0,44.49,1,A Fórmula Mágica de Joel Greenblatt para Bater o Mercado de Ações
203,VOCÊ E SEU DINHEIRO: MÉTODOS SIMPLES PARA NÃO FAZER TOLIC,0,44,1,VOCÊ E SEU DINHEIRO: MÉTODOS SIMPLES PARA NÃO FAZER TOLICES
204,Warren Buffett e a análise de balanços,1,28.6,1,Como identificar empresas com vantagem competitiva de longo prazo por meio de suas demonstrações financeiras
205,Warren Buffett e a análise de balanços,1,32.99,1,Como identificar empresas com vantagem competitiva de longo prazo por meio de suas demonstrações financeiras
206,Administração Financeira,1,32.99,1,"Ross,Stephen A.; Westerfield,Randolph W.; Jaffe,Jeffrey; Lamb,Roberto"
207,CURSO DE ADMINISTRACAO FINANCEIRA - 4ª ED,0,262.5,1,"ASSAF NETO, ALEXANDRE"
208,Fundamentos De Administração Financeira,0,229.6,2,"Ross,Stephen A.; Westerfield,Randolph W.; Jordan,Bradford D.; Lamb,Roberto"
209,"Opções,Futuros E Outros Derivativos",1,188.8,2,"Hull,John C."
210,Upgrade Milionário A Magia Fodeu Geral Comece pelo mais difícil,0,25,1,Brian Tracy Rhonda Byrne Mark Manson Fernando Trias de Vês Richard Parkes Cordock
211,Dinheiro - Os Segredos De Quem Tem - Sextante,0,134.4,2,COMO CONQUISTAR E MANTER SUA INDEPENDENCIA FINANCEIRA
212,Alocação De Ativos Em Private Banking,0,31.92,5,"Brito,Ney Roberto Ottoni De"
213,Os Segredos Dos Casais Inteligentes,0,31.92,27,"Cerbasi,Gustavo"
214,Finanças E Estratégias De Negócios Para Empreendedores,0,36.9,4,"Rogers,Steven"
215,puf formato de livro,0,44,4,puff
216,Dinheiro E Emocional - Vida,0,32.9,21,SAUDE EMOCIONAL PARA TER PAZ FINANCEIRA
217,FINANÇAS NO VAREJO GESTÃO OPERACIONAL,0,79.9,1,CLAUDIO FELISONI
218,Método Financeiro Do Primo Rico,0,26.32,45,Método Financeiro Do Primo Rico
219,Patrimônio X Liberdade,0,555,1,Estratégias de Preservação Patrimonial e Realização Pessoal para Famílias Bem-Sucedidas
220,Alocação De Ativos Em Private Banking,0,62,1,"Brito,Ney Roberto Ottoni De"
221,Avaliação De Empresas,1,56,6,Um Guia para Fusões & Aquisições e Private Equity
222,"Forex. Aprenda a Investir de Maneira Responsável, Como Um Profissional",1,71.5,1,Alexandre Ragozzino Costa Fontes & Antonio Ruiz Molina Montiel Jr
223,Matematica Financeira E Comercial Para Leigos - Alta Books,1,94.4,1,Luis Roberto Antonik
224,A Fórmula Mágica de Joel Greenblatt para Bater o Mercado de Ações,0,31.2,1,A Fórmula Mágica de Joel Greenblatt para Bater o Mercado de Ações
225,Método Financeiro Do Primo Rico,0,49.9,1,"PEREIRA, JOSE MATIAS"
226,Contabilidade Para Concursos e Exame De Suficiência,0,42.27,4,INVESTINDO EM AÇÕES NO LONGO PRAZO: O GUIA INDISPENSÁVEL DO INVESTIDOR DO MERCADO FINANCEIRO
227,Oliver Arcanjo,0,49.9,1,Daniel Cavalcante Silva
228,"Toque De Midas, O - Alta Books",0,40,2,Ernesto Costa Santos
229,Revolução Orçamentária - O Avanço Do Orçamento Base Ze,0,212.38,1,Patricia Lages
230,Finanças Pessoais - O Que Fazer Com O Meu Dinheiro,1,231,2,DINHEIRO: OS SEGREDOS DE QUEM TEM
231,"MATEMÁTICA FINANCEIRA APLICADA: MÉTODO ALGÉBRICO, HP-12C",0,49.9,2,Ramiro Becker
232,Guia Prático de Uso do AHP em Decisões de Ti,0,31.9,3,Alexandre Guasti
233,Modelos Quantitativos Em Finanças,1,31.9,87,"Ross,Stephen A.; Westerfield,Randolph W.; Jaffe,Jeffrey; Lamb,Roberto"
234,Patrimônio X Liberdade,0,46,2,"Brito,Ney Roberto Ottoni De"
235,Administração Financeira,0,58,1,Um Guia para Fusões & Aquisições e Private Equity
236,Avaliação De Empresas,0,111.15,1,"Gitman,Lawrence J.; Zutter,Chad J."
237,Engenharia Econômica,1,71.5,1,"Ross,Stephen A.; Westerfield,Randolph W.; Jordan,Bradford D.; Lamb,Roberto"
238,Finanças E Estratégias De Negócios Para Empreendedores,0,94.4,1,"Higgins,Robert C."
239,Avaliação De Empresas,0,212.38,1,"Samanez, Carlos Patrício"
240,Finanças E Estratégias De Negócios Para Empreendedores,0,231,2,"Eiteman,David K.; Stonehill,Arthur I.; Moffett,Michael H."
241,Fundamentos De Finanças Empresariais,0,189.06,1,"Cornett,M.; Adair,T.; Nofsinger,J."
242,Fundamentos De Finanças Empresariais,0,97.5,4,"Cornett,M.; Adair,T.; Nofsinger,J."
243,100 Dúvidas De Carreira Para Executivos De Finanças,0,12,6,ASPECTOS JURIDICOS E ESTRATEGICOS
244,Administração Financeira,0,90,2,Amador Paes de Almeida
245,Fogo E Sangue - Vol 1 - Suma,0,59.92,2,Henry Kissinger
246,Liv Imp Diplomacia,0,57.6,2,"NIGRO, THIAGO e Gustavo Cerbasi"
247,Dobre Seus Lucros,1,138,1,Como grandes líderes inspiram ação
248,DO MIL AO MILHAO / Casais Inteligentes Enriquecem Juntos,0,189.06,4,Aprenda a enriquecer mudando seus conceitos sobre o dinheiro e adotando os hábitos das pessoas bem-sucedidas
249,Os Segredos Da Mente Milionária / O Investidor Inteligente,0,53.51,1,Sem Cortar o Cafézinho
250,Engenharia Econômica,1,63.67,2,Leonardo Peracini
251,Financas Empresariais Estrategicas - Manole,0,146.9,8,Admir Borges
252,DO MIL AO MILHAO / Casais Inteligentes Enriquecem Juntos,0,91.9,3,Gustavo Cerbasi e  Napoleon Hill
253,O Investidor Inteligente / Mais Esperto que o Diabo,0,45.99,1,10 passos para nunca mais faltar dinheiro no seu bolso
254,Me Poupe / O Investidor Inteligente,1,19.9,2,"Cerbasi,Gustavo"
255,COMO SER UM MILIONÁRIO AO EXTREMO,0,50.9,2,INVESTINDO EM AÇÕES NO LONGO PRAZO: O GUIA INDISPENSÁVEL DO INVESTIDOR DO MERCADO FINANCEIRO
256,OS SEGREDOS DA MENTE MILIONÁRIA,0,51,1,GOVERNANCA CORPORATIVA DE BANCOS E A CRISE FINANCEIRA MUNDIAL
257,PREVIDÊNCIA PARTICULAR - A NOVA APOSENTADORIA,0,47.3,3,Habitos De Doar E Captar Recursos No Brasil
258,Habitos De Doar E Captar Recursos No Brasil,0,26.6,87,ORCAMENTO PUBLICO - 16 ED
259,EM BUSCA DO VALOR: O GUIA DE EVA PARA ESTRATEGISTAS,0,31.9,1,"NIGRO, THIAGO e Gustavo Cerbasi"
260,O Investidor de Bom Senso / O Investidor Inteligente,1,40,10,"Fuja da Rotina, Viva Onde Quiser e Fique Rico"
